[2025-04-11 16:05:01,156: INFO: main: This is a kidney classification]
[2025-04-11 16:21:01,746: INFO: main: This is a classification task]
[2025-04-12 15:41:13,465: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-12 15:41:13,467: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-12 15:41:13,470: INFO: common: created directory at: artifacts]
[2025-04-12 15:41:13,472: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-12 15:41:13,473: INFO: 2943163995: Downloading data from https://drive.google.com/file/d/16Dx0mwyILj0pcASM5eNdbzvNiuQgtQMP/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-12 15:43:50,076: INFO: 2943163995: Downloading data from https://drive.google.com/file/d/16Dx0mwyILj0pcASM5eNdbzvNiuQgtQMP/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-12 17:22:05,196: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2025-04-12 17:22:05,202: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-12 17:22:05,202: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-12 17:22:05,202: INFO: common: created directory at: artifacts]
[2025-04-12 17:22:05,202: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-12 17:22:05,202: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/16Dx0mwyILj0pcASM5eNdbzvNiuQgtQMP/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-12 17:23:38,240: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/16Dx0mwyILj0pcASM5eNdbzvNiuQgtQMP/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2025-04-12 17:23:54,200: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<<

x========x]
